name,model_name,data_dir,teacher_model,student_model,task_name,output_dir,cache_dir,max_seq_length,do_eval,do_lower_case,train_batch_size,eval_batch_size,learning_rate,weight_decay,num_train_epochs,warmup_proportion,no_cuda,gradient_accumulation_steps,aug_train,eval_step,pred_distill,data_url,temperature,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_all_sentence-run-1,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_sentence-run-1,multiemo_en_all_sentence,data/models/TinyBERT_4L_312D/multiemo_en_all_sentence-run-1,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1096.603053,0.7651871192341166,1.977777,0.6083499005964215,0.44933920704845814,0.5168918918918919,681,0.776595744680851,0.825247291568535,0.8001826901118976,2123,0.7971758664955071,0.8160315374507228,0.8064935064935066,1522,0.7675070028011205,0.7723749119097957,0.769933263083948,1419,0.737407128643475,0.715748236994378,0.723375337895311,5745,0.7598595568397843,0.7651871192341166,0.7608023754021195,5745,58395396,58367536,14591884
multiemo_en_all_sentence-run-2,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_sentence-run-2,multiemo_en_all_sentence,data/models/TinyBERT_4L_312D/multiemo_en_all_sentence-run-2,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1124.676925,0.7636205395996519,1.986052,0.5916030534351145,0.4552129221732746,0.5145228215767634,681,0.7742782152230971,0.8337258596325954,0.8029031526423225,2123,0.7915330339961514,0.8107752956636005,0.801038623823434,1522,0.779796511627907,0.7561663143058492,0.767799642218247,1419,0.7343027035705675,0.7139700979438299,0.7215660600651918,5745,0.7585585479634622,0.7636205395996519,0.7595547279931046,5745,58395396,58367536,14591884
multiemo_en_all_sentence-run-3,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_sentence-run-3,multiemo_en_all_sentence,data/models/TinyBERT_4L_312D/multiemo_en_all_sentence-run-3,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1155.595781,0.7648389904264578,2.0029,0.5880149812734082,0.461086637298091,0.516872427983539,681,0.779012894619831,0.825247291568535,0.8014638609332112,2123,0.797702616464582,0.8212877792378449,0.8093234056328907,1522,0.7727598566308244,0.7596899224806202,0.7661691542288558,1419,0.7343725872471614,0.7168279076462728,0.7234572121946241,5745,0.7597793205123281,0.7648389904264578,0.7610934992936472,5745,58395396,58367536,14591884
multiemo_en_all_sentence-run-4,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_sentence-run-4,multiemo_en_all_sentence,data/models/TinyBERT_4L_312D/multiemo_en_all_sentence-run-4,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1151.417695,0.7634464751958224,1.999864,0.6062992125984252,0.4522760646108664,0.5180824222035324,681,0.7737676056338029,0.8280734809232219,0.8,2123,0.7967741935483871,0.8114323258869908,0.8040364583333333,1522,0.7667844522968198,0.7646229739252995,0.7657021877205363,1419,0.7359063660193588,0.7141012113365947,0.7219552670643505,5745,0.7582864840609093,0.7634464751958224,0.7591799866804839,5745,58395396,58367536,14591884
multiemo_en_all_sentence-run-5,TinyBERT_4L_312D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_4L_312D/multiemo_en_all_sentence-run-5,multiemo_en_all_sentence,data/models/TinyBERT_4L_312D/multiemo_en_all_sentence-run-5,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1209.410808,0.7577023498694517,2.009306,0.5745062836624776,0.4698972099853157,0.5169628432956381,681,0.7753818508535489,0.8130004710315591,0.7937456886640607,2123,0.7925736235595391,0.8134034165571616,0.8028534370946822,1522,0.7635714285714286,0.7533474277660324,0.7584249733948208,1419,0.7265082966617487,0.7124121313350171,0.7179967356123005,5745,0.7532078956895922,0.7577023498694517,0.7546251978805026,5745,58395396,58367536,14591884
multiemo_en_all_sentence-run-1,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_sentence-run-1,multiemo_en_all_sentence,data/models/TinyBERT_6L_768D/multiemo_en_all_sentence-run-1,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1861.353129,0.7824194952132288,7.11691,0.5623100303951368,0.5433186490455213,0.5526512322628827,681,0.8054794520547945,0.8308996702779087,0.8179921168560167,2123,0.8185328185328186,0.835742444152431,0.8270481144343302,1522,0.8108711839166046,0.7674418604651163,0.7885590152063722,1419,0.7492983712248387,0.7443506559852443,0.7465626196899005,5745,0.7814445895902573,0.7824194952132288,0.781668446649824,5745,270236395,270194704,67548676
multiemo_en_all_sentence-run-2,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_sentence-run-2,multiemo_en_all_sentence,data/models/TinyBERT_6L_768D/multiemo_en_all_sentence-run-2,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1837.000359,0.7846823324630113,7.200367,0.5689922480620155,0.5389133627019089,0.5535444947209652,681,0.8096330275229358,0.8313707018370231,0.8203578898442947,2123,0.8200514138817481,0.8383705650459922,0.8291098115659519,1522,0.8064516129032258,0.7751937984496124,0.7905138339920948,1419,0.7512820755924814,0.7459621070086342,0.7483815075308267,5745,0.7830822852914053,0.7846823324630113,0.7836776091701612,5745,270236395,270194704,67548676
multiemo_en_all_sentence-run-3,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_sentence-run-3,multiemo_en_all_sentence,data/models/TinyBERT_6L_768D/multiemo_en_all_sentence-run-3,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1918.135452,0.7782419495213229,7.197379,0.54375,0.5110132158590308,0.5268735806207417,681,0.8037087290818634,0.8370230805463966,0.8200276880479925,2123,0.8105670103092784,0.8265440210249672,0.8184775536759922,1522,0.8107302533532041,0.766737138830162,0.7881202462875769,1419,0.7421889981860864,0.7353293640651392,0.7383747671580758,5745,0.7764450132358075,0.7782419495213229,0.7769861020549252,5745,270236395,270194704,67548676
multiemo_en_all_sentence-run-4,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_sentence-run-4,multiemo_en_all_sentence,data/models/TinyBERT_6L_768D/multiemo_en_all_sentence-run-4,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1863.162112,0.77911227154047,7.228751,0.5596330275229358,0.5374449339207048,0.548314606741573,681,0.8072844628861227,0.8247762600094206,0.8159366262814539,2123,0.8109833971902938,0.8344283837056504,0.8225388601036271,1522,0.8030973451327433,0.7674418604651163,0.7848648648648648,1419,0.745249558183024,0.7410228595252231,0.7429137394978798,5745,0.7778741287584591,0.77911227154047,0.7782877446662316,5745,270236395,270194704,67548676
multiemo_en_all_sentence-run-5,TinyBERT_6L_768D,data/multiemo2,data/models/bert-base-uncased/multiemo_en_all_sentence,data/models/TMP_TinyBERT_6L_768D/multiemo_en_all_sentence-run-5,multiemo_en_all_sentence,data/models/TinyBERT_6L_768D/multiemo_en_all_sentence-run-5,,128,False,True,16,16,5e-05,0.01,4.0,0.0,False,1,False,50,True,,1.0,1908.339096,0.783289817232376,7.275735,0.5500794912559619,0.5080763582966226,0.5282442748091604,681,0.8077617328519856,0.8431464908148846,0.8250749020511638,2123,0.8109833971902938,0.8344283837056504,0.8225388601036271,1522,0.8200899550224887,0.7709654686398872,0.7947693425354159,1419,0.7472286440801825,0.7391541753642612,0.7426568448748418,5745,0.7811151730357901,0.783289817232376,0.7817319774299625,5745,270236395,270194704,67548676
